GameId,Games,Year,Season,City
517,2008 Summer,2008,Summer,Beijing
518,2012 Summer,2012,Summer,London
519,2012 Summer,2012,Summer,London
520,2012 Summer,2012,Summer,London
521,2012 Summer,2012,Summer,London
522,2016 Summer,2016,Summer,Rio de Janeiro
523,2016 Summer,2016,Summer,Rio de Janeiro
524,2004 Summer,2004,Summer,Athina
525,2000 Summer,2000,Summer,Sydney
526,2012 Summer,2012,Summer,London
527,2016 Summer,2016,Summer,Rio de Janeiro
528,2008 Summer,2008,Summer,Beijing
529,2004 Summer,2004,Summer,Athina
530,2004 Summer,2004,Summer,Athina
531,2012 Summer,2012,Summer,London
532,2004 Summer,2004,Summer,Athina
533,2000 Summer,2000,Summer,Sydney
534,2016 Summer,2016,Summer,Rio de Janeiro
535,2012 Summer,2012,Summer,London
536,2000 Summer,2000,Summer,Sydney
537,2016 Summer,2016,Summer,Rio de Janeiro
538,2000 Summer,2000,Summer,Sydney
539,2008 Summer,2008,Summer,Beijing
540,2008 Summer,2008,Summer,Beijing
541,2012 Summer,2012,Summer,London
542,2016 Summer,2016,Summer,Rio de Janeiro
543,2016 Summer,2016,Summer,Rio de Janeiro
544,2012 Summer,2012,Summer,London
545,2000 Summer,2000,Summer,Sydney
546,2012 Summer,2012,Summer,London
547,2012 Summer,2012,Summer,London
548,2012 Summer,2012,Summer,London
549,2016 Summer,2016,Summer,Rio de Janeiro
550,2004 Summer,2004,Summer,Athina
551,2012 Summer,2012,Summer,London
552,2016 Summer,2016,Summer,Rio de Janeiro
553,2016 Summer,2016,Summer,Rio de Janeiro
554,2008 Summer,2008,Summer,Beijing
555,2012 Summer,2012,Summer,London
556,2016 Summer,2016,Summer,Rio de Janeiro
557,2016 Summer,2016,Summer,Rio de Janeiro
558,2016 Summer,2016,Summer,Rio de Janeiro
559,2012 Summer,2012,Summer,London
560,2012 Summer,2012,Summer,London
561,2016 Summer,2016,Summer,Rio de Janeiro
562,2012 Summer,2012,Summer,London
563,2000 Summer,2000,Summer,Sydney
564,2000 Summer,2000,Summer,Sydney
565,2016 Summer,2016,Summer,Rio de Janeiro
566,2016 Summer,2016,Summer,Rio de Janeiro
